Date,Open,High,Low,Close,Volume,Open Interest
19/03/2014,387.65,389.9,381.7,386.7,5000500,20963000
20/03/2014,384,386.95,380.75,381.65,3503000,20972000
21/03/2014,383.7,391.45,383.35,390.4,6367500,19776000
22/03/2014,389.4,391.2,388.25,389.95,519000,19784000
24/03/2014,391.3,395.3,390.2,391.95,5366500,16810000
25/03/2014,392.25,393.95,387.25,391.1,5580000,15125000
26/03/2014,395.2,403.5,394.55,401.9,8919000,10407000
27/03/2014,402.95,404.85,393.9,397.15,6377000,6306000
28/03/2014,401.9,405.3,398.25,399.6,4185000,16926000
31/03/2014,401.3,407.2,399.45,401.4,5429000,17516000
01/04/2014,406.75,407.9,402.05,406.15,6187500,18425000
02/04/2014,408.5,417.2,406.9,415.65,7114500,18695000
03/04/2014,416.1,419.95,409.3,412.95,4901000,18115000
04/04/2014,414.25,414.85,406.8,408.15,2555000,18314000
07/04/2014,407.6,412.6,404.1,406.7,3939500,19036000
09/04/2014,408.75,425.25,408.75,423.9,7226500,20408000
10/04/2014,425,437.35,425,432.2,7232500,19917000
11/04/2014,430,439.5,424.65,426,6203500,19420000
15/04/2014,428.5,430.9,411.15,414,6215500,20282000
16/04/2014,412.7,420.65,411.35,413,4616000,19621000
17/04/2014,417.75,431.4,417.05,429.9,7342500,18012000
21/04/2014,426.5,435.2,425.05,433,6266000,15127000
22/04/2014,432.35,435.85,427.35,429.6,5661500,12009000
23/04/2014,431.2,434.45,422.2,424.35,7273500,6769000
25/04/2014,430.8,434.15,426.45,427.4,3674500,20439000
28/04/2014,426.1,426.7,420.1,421.15,3155000,20722000
29/04/2014,422.2,422.5,411.95,413.05,3050000,20916000
30/04/2014,417.3,422.25,407.4,417.3,5281500,20610000
02/05/2014,419.85,422.8,413.75,417.1,2682000,20389000
05/05/2014,413.7,418.8,411.3,416.65,2822000,20288000
06/05/2014,417.05,423.7,417.05,421.1,2990000,20187000
07/05/2014,421.7,423.7,418.15,419,2161500,20037000
08/05/2014,421.25,425.4,420.7,424.6,2835000,19848000
09/05/2014,424.85,431.95,421.1,429.9,4679000,19690000
12/05/2014,428.8,448.2,428.75,446.35,6354000,19410000
13/05/2014,448.5,456.95,441.5,443.35,4813000,19398000
14/05/2014,440.6,448,436,445,4357000,19513000
15/05/2014,444.45,450.75,439.15,441.6,4540500,18870000
16/05/2014,450.2,468.1,445.5,452.7,7153000,19171000
19/05/2014,455.2,460.35,445.1,446.8,5296500,19411000
20/05/2014,450.05,453.9,439,442.35,5544500,21041000
21/05/2014,445.65,447.1,436.1,439.35,4517000,20466000
22/05/2014,441.1,443.2,430.6,432.9,4628500,21065000
23/05/2014,430.95,442.35,426.65,433.25,7322000,22410000
26/05/2014,440.55,455.4,438.55,444.7,13664500,19599000
27/05/2014,446.3,452,434.6,437.45,7287000,16479000
28/05/2014,436.25,436.75,424,430.05,8725500,10871000
29/05/2014,428.5,432.55,421.65,424.3,6930000,7098000
30/05/2014,414.75,424.7,409.9,417.8,9129500,25116000
02/06/2014,417.15,425,412.65,423.75,4140500,25815000
03/06/2014,419.7,425.75,418.5,421.95,5727500,25287000
04/06/2014,425.35,430.8,422.55,423.55,4711500,24997000
05/06/2014,422.5,438.65,418.2,436,11706000,25546000
06/06/2014,440,442.7,430.1,439.9,9115500,25393000
09/06/2014,444,454.8,440.9,450.95,8864000,25483000
10/06/2014,451,455.8,443.1,454,7901000,25302000
11/06/2014,447,453.7,438.35,446.35,8606000,24527000
12/06/2014,445.2,452.5,442.9,449.9,5043000,24239000
13/06/2014,443,451.25,435,438.4,6129000,21568000
16/06/2014,437.05,439.2,430.65,432.6,3776000,21508000
17/06/2014,436.9,444.5,429.35,442.2,5405500,21054000
18/06/2014,445.55,445.7,431.2,433.95,4576000,20873000
19/06/2014,439.7,444.3,435.7,438.55,9687500,18983000
20/06/2014,442,442.2,433.5,438.15,3943000,18676000
23/06/2014,436.9,443.2,432.6,435.7,5161500,16151000
24/06/2014,433.2,447.35,433.2,443.6,7974500,13049000
25/06/2014,442.5,449.3,439.75,444.1,8392000,8808000
26/06/2014,443.4,448.8,437,438.25,5881000,4439000
27/06/2014,440.25,442.3,431.7,433.8,4194500,19531000
30/06/2014,435.2,438,431.3,433,2413000,19847000
01/07/2014,434.3,455,434.3,453.2,10480500,20818000
02/07/2014,452.4,460.4,446.5,456.25,9341500,20889000
03/07/2014,457.25,472.4,456.5,469.25,12162500,20020000
04/07/2014,469,473.7,465.6,468.5,6605500,18904000
07/07/2014,471.9,479.45,471,477.65,4996500,18676000
08/07/2014,477.5,483.55,463.65,467.7,8199000,16988000
09/07/2014,467.25,468.85,455.1,459.4,5323500,16952000
10/07/2014,463,477.5,451,453.5,7814000,17425000
11/07/2014,456.75,462.8,444.25,447.65,4462500,17006000
14/07/2014,447.3,460.4,444.55,458.2,4479000,17417000
15/07/2014,460.05,465.7,457.6,463.3,4042500,17195000
16/07/2014,465.95,472,462.25,471.1,4062000,17597000
17/07/2014,467.5,477.9,465.5,475.6,4533500,17223000
18/07/2014,472.3,477.85,466.5,475.15,4885500,15951000
21/07/2014,476,478.8,469.3,475.1,2526500,15580000
22/07/2014,474.1,487.65,472,486.5,6601000,15968000
23/07/2014,486,487.55,476.55,484.7,4553000,14965000
24/07/2014,483.15,486.8,477.1,484.85,4137000,14284000
25/07/2014,484.75,484.75,457.65,461.2,6270000,12277000
28/07/2014,457.35,469.7,450.7,452.95,8546000,11472000
